SYMBOL,NAME_OF_COMPANY,P/E Ratio,Debt-to-Equity,ROE (%),Earnings Growth,Market Cap,Sector,Industry
ADL,Archidply Decor Limited,166.87181,44.556,,-0.9,362251552.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ADORWELD,Ador Welding Limited,34.47799,8.397,,-0.12,15453680640.0,Industrials,Specialty Industrial Machinery
ADROITINFO,Adroit Infotech Limited,18.168674,28.292,,-0.75,603742848.0,Technology,Information Technology Services
ADSL,Allied Digital Services Limited,21.837746,10.869,,0.417,10699669504.0,Technology,Information Technology Services
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,22.252708,1.916,,0.284,5697908736.0,Consumer Cyclical,Lodging
ADVENZYMES,Advanced Enzyme Technologies Limited,22.474747,3.378,,-0.102,29872226304.0,Basic Materials,Specialty Chemicals
AEGISLOG,Aegis Logistics Limited,44.83272,92.2,,-0.046,258985361408.0,Energy,Oil & Gas Refining & Marketing
AEROFLEX,Aeroflex Industries Limited,40.6775,0.233,,0.686,21041657856.0,Industrials,Metal Fabrication
AETHER,Aether Industries Limited,109.94452,10.455,5.056,1.477,118223880192.0,Basic Materials,Specialty Chemicals
AFCONS,Afcons Infrastructure Limited,31.74189,91.816,,0.257,165540020224.0,Industrials,Engineering & Construction
AFFLE,Affle (India) Limited,54.642857,4.998,,0.248,200844918784.0,Communication Services,Advertising Agencies
AFFORDABLE,Affordable Robotic & Automation Limited,34.000835,51.668,,,4573307904.0,Industrials,Specialty Industrial Machinery
AFIL,Akme Fintrade (India) Limited,17.484293,57.139,,0.45,2855813632.0,Financial Services,Credit Services
AGARIND,Agarwal Industrial Corporation Limited,11.587707,52.459,,0.003,14268246016.0,Basic Materials,Specialty Chemicals
AGARWALEYE,Dr. Agarwal's Health Care Limited,153.8,66.391,,0.014,133601452032.0,Healthcare,Medical Instruments & Supplies
AGI,AGI Greenpac Limited,14.836376,31.717,,0.349,43117584384.0,Consumer Cyclical,Packaging & Containers
AGIIL,Agi Infra Limited,33.108273,55.164,,0.278,19948650496.0,Real Estate,Real Estate - Development
AGRITECH,Agri-Tech (India) Limited,149.16667,,,,799524544.0,Consumer Defensive,Farm Products
AGROPHOS,Agro Phos India Limited,,45.945,,,601735296.0,Basic Materials,Agricultural Inputs
AGSTRA,AGS Transact Technologies Limited,,199.958,,,1625597824.0,Technology,Software - Infrastructure
AHL,Abans Holdings Limited,9.370878,94.114,,0.12,9619581952.0,Financial Services,Capital Markets
AHLADA,Ahlada Engineers Limited,5.9261365,29.304,,-0.869,808596224.0,Industrials,Building Products & Equipment
AHLEAST,Asian Hotels (East) Limited,8.598578,134.508,,1.762,2300142080.0,Consumer Cyclical,Lodging
AHLUCONT,Ahluwalia Contracts (India) Limited,15.409922,4.304,,-0.296,49132015616.0,Industrials,Engineering & Construction
AIAENG,AIA Engineering Limited,28.57013,1.967,,-0.063,293492654080.0,Industrials,Specialty Industrial Machinery
AIIL,Authum Investment & Infrastructure Limited,6.203586,6.974,,-0.103,249145622528.0,Financial Services,Capital Markets
AIRAN,Airan Limited,12.355451,0.51,,-0.44,3259271424.0,Technology,Information Technology Services
AIROLAM,Airo Lam limited,19.721651,129.531,,-0.416,1434941312.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AJANTPHARM,Ajanta Pharma Limited,35.460323,0.892,,0.115,317420863488.0,Healthcare,Drug Manufacturers - Specialty & Generic
AJAXENGG,Ajax Engineering Limited,27.771767,0.189,,0.262,67517292544.0,Industrials,Farm & Heavy Construction Machinery
AJMERA,Ajmera Realty & Infra India Limited,21.789093,78.303,,0.054,30869331968.0,Real Estate,Real Estate - Development
AJOONI,Ajooni Biotech Limited,29.0,2.36,4.2700000000000005,-0.84,633989568.0,Consumer Defensive,Packaged Foods
AKASH,Akash Infra-Projects Limited,26.515463,105.015,,,433703488.0,Industrials,Engineering & Construction
AKG,Akg Exim Limited,47.357143,25.998,1.5230000000000001,-0.667,421357728.0,Industrials,Industrial Distribution
AKI,AKI India Limited,38.76191,34.988,,1.0,720652160.0,Consumer Cyclical,Footwear & Accessories
AKSHAR,Akshar Spintex Limited,,41.621,,,472480800.0,Consumer Cyclical,Textile Manufacturing
AKSHARCHEM,AksharChem India Limited,,26.108,,2.61,1654818816.0,Basic Materials,Specialty Chemicals
AKSHOPTFBR,Aksh Optifibre Limited,,333.989,,,1273924992.0,Technology,Communication Equipment
AKUMS,Akums Drugs and Pharmaceuticals Limited,50.771145,18.633,,-0.678,78166220800.0,Healthcare,Drug Manufacturers - Specialty & Generic
AKZOINDIA,Akzo Nobel India Limited,33.11255,4.524,,-0.046,142500315136.0,Basic Materials,Specialty Chemicals
ALANKIT,Alankit Limited,17.551725,10.635,,-0.472,4140582912.0,Technology,Information Technology Services
ALBERTDAVD,Albert David Limited,11.40237,0.853,,,4618523648.0,Healthcare,Drug Manufacturers - Specialty & Generic
ALEMBICLTD,Alembic Limited,7.5645423,0.722,,0.067,23821645824.0,Real Estate,Real Estate - Development
ALICON,Alicon Castalloy Limited,19.683762,60.482,,-0.953,11235277824.0,Industrials,Metal Fabrication
ALIVUS,Alivus Life Sciences Limited,28.491932,0.629,,0.152,125477888000.0,Healthcare,Drug Manufacturers - Specialty & Generic
ALKALI,Alkali Metals Limited,,,,,850243136.0,Basic Materials,Specialty Chemicals
ALKEM,Alkem Laboratories Limited,26.10911,12.409,,0.052,562786467840.0,Healthcare,Drug Manufacturers - Specialty & Generic
ALKYLAMINE,Alkyl Amines Chemicals Limited,46.729885,0.17,,0.309,83157360640.0,Basic Materials,Specialty Chemicals
ALLCARGO,Allcargo Logistics Limited,70.25581,,,2.983,29778298880.0,Industrials,Integrated Freight & Logistics
ALLDIGI,Alldigi Tech Limited,16.33927,15.288,,0.769,13840947200.0,Industrials,Specialty Business Services
ALMONDZ,Almondz Global Securities Limited,19.81,13.477,,-0.882,3437074432.0,Financial Services,Capital Markets
ALOKINDS,Alok Industries Limited,,,,,79145885696.0,Consumer Cyclical,Textile Manufacturing
ALPA,Alpa Laboratories Limited,10.772728,1.374,,0.949,2243980032.0,Healthcare,Drug Manufacturers - Specialty & Generic
ALPHAGEO,Alphageo (India) Limited,98.84109,,,,1648473856.0,Energy,Oil & Gas Equipment & Services
ALPSINDUS,Alps Industries Limited,,,,,93091624.0,Consumer Cyclical,Textile Manufacturing
AMBER,Amber Enterprises India Limited,97.09427,95.3,,,215303487488.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,17.545456,79.303,,,466365216.0,Consumer Defensive,Household & Personal Products
AMBIKCO,Ambika Cotton Mills Limited,11.286656,,,0.097,7447652864.0,Consumer Cyclical,Textile Manufacturing
AMBUJACEM,Ambuja Cements Limited,27.246214,1.301,,1.225,1197569867776.0,Basic Materials,Building Materials
AMDIND,AMD Industries Limited,72.98182,51.456,,,785836800.0,Consumer Cyclical,Packaging & Containers
AMIORG,Ami Organics Limited,73.53605,0.509,,1.35,89415147520.0,Basic Materials,Specialty Chemicals
AMJLAND,Amj Land Holdings Limited,13.456825,4.117,,2.929,1986038656.0,Real Estate,Real Estate - Development
AMNPLST,Amines & Plasticizers Limited,27.78581,34.104,,-0.011,11444152320.0,Basic Materials,Chemicals
AMRUTANJAN,Amrutanjan Health Care Limited,34.612217,0.744,,0.103,17023869952.0,Healthcare,Drug Manufacturers - Specialty & Generic
ANANDRATHI,Anand Rathi Wealth Limited,49.75757,11.665,,0.34,140873498624.0,Financial Services,Asset Management
ANANTRAJ,Anant Raj Limited,42.73084,10.003,,0.455,167714635776.0,Real Estate,Real Estate - Development
ANDHRAPAP,ANDHRA PAPER LIMITED,11.586379,13.044,,-0.858,13869787136.0,Basic Materials,Paper & Paper Products
ANDHRSUGAR,The Andhra Sugars Limited,20.367167,1.43,,-0.919,9288218624.0,Basic Materials,Chemicals
ANGELONE,Angel One Limited,13.15754,59.402,,0.008,176359440384.0,Financial Services,Capital Markets
ANIKINDS,Anik Industries Limited,,1.395,,1.2,2574132224.0,Consumer Defensive,Food Distribution
ANMOL,Anmol India Limited,9.497041,158.723,,-0.91,919164224.0,Energy,Thermal Coal
ANSALAPI,Ansal Properties & Infrastructure Limited,,,,,661101824.0,Real Estate,Real Estate - Development
ANTGRAPHIC,Antarctica Limited,,16.267,,,164310592.0,Consumer Cyclical,Packaging & Containers
ANUHPHR,Anuh Pharma Limited,15.321357,4.654,,-0.459,7687176704.0,Healthcare,Drug Manufacturers - Specialty & Generic
ANUP,The Anup Engineering Limited,74.06722,3.431,,0.501,57804488704.0,Industrials,Specialty Industrial Machinery
ANURAS,Anupam Rasayan India Limited,108.703445,44.691,,0.512,86636617728.0,Basic Materials,Specialty Chemicals
APARINDS,Apar Industries Limited,27.248346,13.218,,-0.231,220184543232.0,Industrials,Electrical Equipment & Parts
APCL,Anjani Portland Cement Limited,,180.351,,,3093160704.0,Basic Materials,Building Materials
APCOTEXIND,Apcotex Industries Limited,29.423645,39.329,,0.037,15483508736.0,Basic Materials,Specialty Chemicals
APEX,Apex Frozen Foods Limited,453.89795,23.244,,,6954694144.0,Consumer Defensive,Farm Products
APLAPOLLO,APL Apollo Tubes Limited,59.869167,26.57,,0.31,381027516416.0,Basic Materials,Steel
APLLTD,Alembic Pharmaceuticals Limited,26.958292,21.817,,-0.236,162744696832.0,Healthcare,Drug Manufacturers - Specialty & Generic
APOLLO,Apollo Micro Systems Limited,59.973404,37.42,,0.622,34571968512.0,Industrials,Aerospace & Defense
APOLLOHOSP,Apollo Hospitals Enterprise Limited,67.11718,93.132,,0.518,877900791808.0,Healthcare,Medical Care Facilities
APOLLOPIPE,Apollo Pipes Limited,45.867134,20.378,,-0.358,14462169088.0,Industrials,Building Products & Equipment
APOLLOTYRE,Apollo Tyres Limited,19.722086,33.551,,-0.321,254643748864.0,Consumer Cyclical,Auto Parts
APOLSINHOT,Apollo Sindoori Hotels Limited,45.453087,60.697,,-0.5,3313039872.0,Industrials,Specialty Business Services
APTECHT,Aptech Limited,42.592464,2.7,,-0.466,7213423104.0,Consumer Defensive,Education & Training Services
APTUS,Aptus Value Housing Finance India Limited,20.925797,154.359,,0.21,147994935296.0,Financial Services,Mortgage Finance
ARCHIDPLY,Archidply Industries Limited,,174.633,,,1714548096.0,Basic Materials,Lumber & Wood Production
ARCHIES,Archies Limited,,41.211,,-0.954,542168960.0,Consumer Cyclical,Specialty Retail
ARE&M,Amara Raja Energy & Mobility Limited,17.391933,4.647,,0.093,176006463488.0,Industrials,Electrical Equipment & Parts
ARENTERP,Rajdarshan Industries Limited,19.189575,,,,126663256.0,Basic Materials,Other Industrial Metals & Mining
ARIES,Aries Agro Limited,9.920178,13.038,,0.485,3183842816.0,Basic Materials,Agricultural Inputs
ARIHANTCAP,Arihant Capital Markets Limited,10.196301,53.667,,-0.404,7531489280.0,Financial Services,Capital Markets
ARIHANTSUP,Arihant Superstructures Limited,21.688421,174.597,,0.869,15739573248.0,Real Estate,Real Estate - Development
ARKADE,Arkade Developers Limited,19.162128,9.21,,-0.056,27430000640.0,Real Estate,Real Estate - Development
ARMANFIN,Arman Financial Services Limited,12.902596,166.395,,,12156490752.0,Financial Services,Credit Services
AROGRANITE,Aro Granite Industries Limited,,97.389,,,535805664.0,Industrials,Building Products & Equipment
ARROWGREEN,Arrow Greentech Limited,12.7391405,0.596,,1.622,7923413504.0,Consumer Cyclical,Packaging & Containers
ARSSINFRA,ARSS Infrastructure Projects Limited,31.181034,,,,822433408.0,Industrials,Infrastructure Operations
ARTEMISMED,Artemis Medicare Services Limited,100.29694,40.12,,0.578,,,
ARTNIRMAN,Art Nirman Limited,88.26415,23.702,,2.667,1167441664.0,Real Estate,Real Estate - Development
ARVEE,Arvee Laboratories (India) Limited,70.76923,3.222,,-0.364,1622144000.0,Basic Materials,Specialty Chemicals
ARVIND,Arvind Limited,27.690971,43.403,,0.129,83582468096.0,Consumer Cyclical,Textile Manufacturing
ARVINDFASN,Arvind Fashions Limited,59.832535,98.689,,-0.478,49992114176.0,Consumer Cyclical,Apparel Manufacturing
ARVSMART,Arvind SmartSpaces Limited,43.872158,19.479,,4.049,29858697216.0,Real Estate,Real Estate - Development
ASAHIINDIA,Asahi India Glass Limited,40.33103,95.42,,0.663,142572470272.0,Consumer Cyclical,Auto Parts
ASAHISONG,Asahi Songwon Colors Limited,23.580858,72.333,,,3380585216.0,Basic Materials,Specialty Chemicals
ASAL,Automotive Stampings and Assemblies Limited,36.362896,20423.77,,-0.247,7146109440.0,Consumer Cyclical,Auto Parts
ASALCBR,Associated Alcohols & Breweries Ltd.,34.36104,20.141,,1.02,23951370240.0,Consumer Defensive,Beverages - Wineries & Distilleries
ASHAPURMIN,Ashapura Minechem Limited,10.461902,111.509,,0.913,29641746432.0,Basic Materials,Other Industrial Metals & Mining
ASHIANA,Ashiana Housing Limited,208.40277,36.459,2.029,-0.601,30167554048.0,Real Estate,Real Estate - Development
ASHIMASYN,Ashima Limited,3.976842,40.485,,,3620457216.0,Consumer Cyclical,Textile Manufacturing
ASHOKA,Ashoka Buildcon Limited,3.1968796,182.014,,5.105,48340590592.0,Industrials,Engineering & Construction
ASHOKAMET,Ashoka Metcast Limited,4.226506,8.812,,3.8,438429856.0,Basic Materials,Steel
ASHOKLEY,Ashok Leyland Limited,20.418484,332.769,,0.356,577409908736.0,Industrials,Farm & Heavy Construction Machinery
ASIANENE,Asian Energy Services Limited,29.252718,3.739,,-0.457,10848733184.0,Energy,Oil & Gas Equipment & Services
ASIANHOTNR,Asian Hotels (North) Limited,,,,,7197709312.0,Consumer Cyclical,Lodging
ASIANPAINT,Asian Paints Limited,50.504753,13.467,,-0.233,2139187576832.0,Basic Materials,Specialty Chemicals
ASIANTILES,Asian Granito India Limited,97.347824,17.139,,,6596451840.0,Industrials,Building Products & Equipment
ASKAUTOLTD,ASK Automotive Limited,34.013268,43.435,,0.32,80868065280.0,Consumer Cyclical,Auto Parts
ASMS,Bartronics India Limited,144.59999,0.715,,,4404183552.0,Technology,Information Technology Services
ASPINWALL,Aspinwall and Company Limited,15.103659,21.628,,0.833,1936590464.0,Consumer Defensive,Farm Products
ASTEC,Astec LifeSciences Limited,,171.539,,,12823895040.0,Basic Materials,Agricultural Inputs
ASTERDM,Aster DM Healthcare Limited,106.397064,53.874,,-0.683,216286412800.0,Healthcare,Medical Care Facilities
ASTRAL,Astral Limited,63.275425,5.738,,0.007,332650741760.0,Industrials,Building Products & Equipment
ASTRAMICRO,Astra Microwave Products Limited,43.8494,31.253,,0.094,59164962816.0,Technology,Communication Equipment
ASTRAZEN,AstraZeneca Pharma India Limited,196.0549,2.52,,0.953,191888752640.0,Healthcare,Drug Manufacturers - Specialty & Generic
ASTRON,Astron Paper & Board Mill Limited,,64.538,,,602174976.0,Basic Materials,Paper & Paper Products
ATALREAL,Atal Realtech Limited,,29.265,,1.25,1358823552.0,Industrials,Engineering & Construction
ATAM,Atam Valves Limited,13.684385,24.828,,0.539,944321920.0,Industrials,Specialty Industrial Machinery
ATFL,Agro Tech Foods Limited,357.29074,2.548,,0.548,30579666944.0,Consumer Defensive,Packaged Foods
ATGL,Adani Total Gas Limited,100.057945,37.268,,-0.199,664670175232.0,Utilities,Utilities - Regulated Gas
ATL,Allcargo Terminals Limited,15.341318,149.903,,-0.2,6309463552.0,Industrials,Integrated Freight & Logistics
ATLANTAA,ATLANTAA LIMITED,1.4160414,128.81,,2.767,2464560640.0,Industrials,Infrastructure Operations
ATLASCYCLE,Atlas Cycles (Haryana) Limited,3.4293015,,,,528436640.0,Consumer Cyclical,Leisure
ATUL,Atul Limited,39.215496,3.853,,0.536,163141419008.0,Basic Materials,Specialty Chemicals
ATULAUTO,Atul Auto Limited,57.115383,28.776,,0.627,11561193472.0,Consumer Cyclical,Auto Manufacturers
AUBANK,AU Small Finance Bank Limited,18.624075,,,0.269,374370336768.0,Financial Services,Banks - Regional
AURIONPRO,Aurionpro Solutions Limited,38.466415,2.306,,0.136,70120439808.0,Technology,Software - Infrastructure
AUROPHARMA,Aurobindo Pharma Limited,18.316044,27.286,,-0.092,635832958976.0,Healthcare,Drug Manufacturers - Specialty & Generic
AURUM,Aurum PropTech Limited,,65.051,,,10556926976.0,Real Estate,Real Estate Services
AUSOMENT,Ausom Enterprise Limited,9.338943,0.127,,-0.813,1058553664.0,Financial Services,Capital Markets
AUTOAXLES,Automotive Axles Limited,15.221087,3.054,,0.012,23437901824.0,Consumer Cyclical,Auto Parts
AUTOIND,Autoline Industries Limited,15.192983,99.837,,-0.766,2997669376.0,Consumer Cyclical,Auto Parts
AVADHSUGAR,Avadh Sugar & Energy Limited,10.929192,68.097,,-0.691,7817185280.0,Consumer Defensive,Confectioners
AVALON,Avalon Technologies Limited,97.98258,35.437,,2.653,44659281920.0,Technology,Electronic Components
AVANTEL,Avantel Limited,42.92157,8.772,,0.224,26786355200.0,Technology,Communication Equipment
AVANTIFEED,Avanti Feeds Limited,23.868273,0.564,,0.865,114794061824.0,Consumer Defensive,Packaged Foods
AVG,AVG Logistics Limited,7.077522,99.505,,-0.066,3285590016.0,Industrials,Integrated Freight & Logistics
AVL,Aditya Vision Limited,56.49601,52.304,,0.02,54662475776.0,Consumer Cyclical,Specialty Retail
AVONMORE,Avonmore Capital & Management Services Limited,15.491072,5.618,,-0.944,4895909888.0,Financial Services,Capital Markets
AVROIND,AVRO INDIA LIMITED,47.87576,72.491,,-0.144,2103004928.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AVTNPL,AVT Natural Products Limited,18.564627,20.148,,-0.034,8314717696.0,Basic Materials,Specialty Chemicals
AWFIS,Awfis Space Solutions Limited,,246.068,,,40565940224.0,Industrials,Rental & Leasing Services
AWHCL,Antony Waste Handling Cell Limited,19.490831,56.875,,0.228,14169684992.0,Industrials,Waste Management
AWL,Adani Wilmar Limited,26.943295,24.148,,1.039,320024838144.0,Consumer Defensive,Packaged Foods
AXISBANK,Axis Bank Limited,11.161198,,17.172001,0.034,3128175362048.0,Financial Services,Banks - Regional
AXISCADES,AXISCADES Technologies Limited,68.494225,41.604,,0.966,35279466496.0,Industrials,Engineering & Construction
AXITA,Axita Cotton Limited,15.181818,9.329,,,3488162560.0,Consumer Cyclical,Textile Manufacturing
AYMSYNTEX,AYM Syntex Limited,28.825735,73.466,,,10353756160.0,Consumer Cyclical,Textile Manufacturing
AZAD,Azad Engineering Limited,99.02014,23.874,,0.202,82558017536.0,Industrials,Specialty Industrial Machinery
BAFNAPH,Bafna Pharmaceuticals Limited,44.362637,22.747,,,1975069952.0,Healthcare,Drug Manufacturers - Specialty & Generic
BAGFILMS,B.A.G Films and Media Limited,99.166664,61.177,,,1187506816.0,Communication Services,Broadcasting
BAIDFIN,Baid Finserv Limited,10.097826,141.825,,0.3,1119036288.0,Financial Services,Credit Services
BAJAJ-AUTO,Bajaj Auto Limited,27.93278,16.523,,0.095,2096790634496.0,Consumer Cyclical,Auto Manufacturers
BAJAJCON,Bajaj Consumer Care Limited,17.150106,0.923,,-0.286,21765386240.0,Consumer Defensive,Household & Personal Products
BAJAJELEC,Bajaj Electricals Limited,62.87222,111.453,,-0.108,65341526016.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
BAJAJFINSV,Bajaj Finserv Limited,34.012985,211.987,,0.037,2882557181952.0,Financial Services,Financial Conglomerates
BAJAJHCARE,Bajaj Healthcare Limited,,46.148,,,20085366784.0,Healthcare,Drug Manufacturers - Specialty & Generic
BAJAJHFL,Bajaj Housing Finance Limited,49.042557,396.32,,0.015,959819284480.0,Financial Services,Mortgage Finance
BAJAJHIND,Bajaj Hindusthan Sugar Limited,,82.216,,,23769532416.0,Consumer Defensive,Confectioners
BAJAJHLDNG,Bajaj Holdings & Investment Limited,16.778622,0.068,,0.063,1259870355456.0,Financial Services,Asset Management
BAJAJINDEF,Indef Manufacturing Limited,,,,,7344320000.0,,
BAJEL,Bajel Projects Limited,105.49669,31.657,,-0.552,18415558656.0,Utilities,Utilities - Regulated Electric
BAJFINANCE,Bajaj Finance Limited,32.679203,290.321,,0.157,5210406649856.0,Financial Services,Credit Services
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,15.254902,63.893,,0.075,4442351104.0,Consumer Cyclical,Packaging & Containers
BALAJITELE,Balaji Telefilms Limited,,8.107,,,6110997504.0,Communication Services,Entertainment
BALAMINES,Balaji Amines Limited,21.096836,0.779,,-0.328,39124246528.0,Basic Materials,Specialty Chemicals
BALAXI,BALAXI PHARMACEUTICALS LIMITED,13.76803,9.636,-1.242,0.321,3595511808.0,Healthcare,Biotechnology
BALKRISHNA,Balkrishna Paper Mills Limited,,,,,623126080.0,Consumer Cyclical,Packaging & Containers
BALKRISIND,Balkrishna Industries Limited,27.246511,33.214,,0.472,483108847616.0,Consumer Cyclical,Auto Parts
BALMLAWRIE,Balmer Lawrie & Company Limited,11.113768,6.839,,-0.031,29429770240.0,Industrials,Conglomerates
BALPHARMA,Bal Pharma Limited,16.878849,228.359,11.643,0.048,1311246080.0,Healthcare,Drug Manufacturers - Specialty & Generic
BALRAMCHIN,Balrampur Chini Mills Limited,23.252213,17.024,,-0.23,95499960320.0,Consumer Defensive,Confectioners
BALUFORGE,Balu Forge Industries Limited,28.332275,,,,48805662720.0,Industrials,Metal Fabrication
BANARBEADS,Banaras Beads Limited,25.981327,28.272,,0.103,835832640.0,Consumer Cyclical,Footwear & Accessories
BANARISUG,Bannari Amman Sugars Limited,44.6458,9.352,,-0.577,42509492224.0,Consumer Defensive,Confectioners
BANCOINDIA,Banco Products (I) Limited,15.6022415,32.991,,-0.548,47802966016.0,Consumer Cyclical,Auto Parts
BANDHANBNK,Bandhan Bank Limited,9.074627,,,-0.418,225278033920.0,Financial Services,Banks - Regional
BANG,Bang Overseas Limited,,37.104,,,728850176.0,Consumer Cyclical,Apparel Manufacturing
BANKA,Banka BioLoo Limited,,94.898,,,852651264.0,Industrials,Pollution & Treatment Controls
BANKBARODA,Bank of Baroda,5.203038,,15.798001000000001,0.089,1063230963712.0,Financial Services,Banks - Regional
BANKINDIA,Bank of India,5.038544,,11.712,0.261,428633817088.0,Financial Services,Banks - Regional
BANSALWIRE,Bansal Wire Industries Limited,40.4698,21.082,,1.217,56641957888.0,Basic Materials,Steel
BANSWRAS,Banswara Syntex Limited,17.462605,84.931,,0.213,4326939648.0,Consumer Cyclical,Textile Manufacturing
